icao,iata,name,city,country,lat,lng,alt
MNBR,,Los Brasiles Airport,Los Brasiles,Nicaragua,12.1899995804,-86.3538970947,262
MNLN,,Leon (Fanor Urroz) Airport,Leon,Nicaragua,12.4292001724,-86.9028015137,328
MNMG,MGA,Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,12.141500473,-86.1681976318,194
MNPC,PUZ,Puerto Cabezas Airport,Puerto Cabezas,Nicaragua,14.0472002029,-83.3867034912,52
MPBO,BOC,Bocas Del Toro International Airport,Bocas Del Toro,Panama,9.3408498764,-82.2508010864,10
MPCH,CHX,Cap Manuel Niño International Airport,Changuinola,Panama,9.4586400986,-82.5167999268,19
MPDA,DAV,Enrique Malek International Airport,David,Panama,8.390999794,-82.4349975586,89
MPHO,BLB,Panama Pacific International Airport,Howard,Panama,8.91479,-79.599602,52
MPMG,PAC,Marcos A. Gelabert International Airport,Panama,Panama,8.9733400345,-79.5556030273,31
MPSA,,Ruben Cantu Airport,Santiago,Panama,8.0855998993,-80.9452972412,272
MPTO,PTY,Tocumen International Airport,Panama City,Panama,9.0713596344,-79.3834991455,135
MRBA,,Buenos Aires Airport,Buenos Aires,Costa Rica,9.163949,-83.330171,1214
MRCC,OTR,Coto 47 Airport,Coto 47,Costa Rica,8.601559639,-82.9685974121,26
MRCH,,Chacarita Airport,Chacarita,Costa Rica,9.9814100266,-84.7726974487,7
MREC,,El Carmen de Siquirres Airport,El Carmen,Costa Rica,10.2019996643,-83.4721984863,56
MRFI,,Finca 10 / Nuevo Palmar Sur Airport,Finca 10,Costa Rica,8.9163503647,-83.5073013306,25
MRGF,GLF,Golfito Airport,Golfito,Costa Rica,8.654009819,-83.1821975708,49
MRGP,,Guapiles Airport,Guapiles,Costa Rica,10.2172002792,-83.7969970703,883
MRLB,LIR,Daniel Oduber Quiros International Airport,Liberia,Costa Rica,10.5932998657,-85.5444030762,270
MRLC,,Los Chiles Airport,Los Chiles,Costa Rica,11.0353002548,-84.7061004639,131
MRLM,LIO,Limon International Airport,Limon,Costa Rica,9.9579601288,-83.0220031738,7
MRNS,NOB,Nosara Airport,Nosara Beach,Costa Rica,9.9764900208,-85.6529998779,33
MROC,SJO,Juan Santamaria International Airport,San Jose,Costa Rica,9.9938602448,-84.2088012695,3021
MRPD,,Pandora Airport,Pandora,Costa Rica,9.732170105,-82.9832000732,98
MRPM,PMZ,Palmar Sur Airport,Palmar Sur,Costa Rica,8.9510297775,-83.4685974121,49
MRQP,XQP,Quepos Managua Airport,Quepos,Costa Rica,9.4431600571,-84.1297988892,85
MRSG,,Santa Clara De Guapiles Airport,Santa Clara,Costa Rica,10.2882995605,-83.7135009766,262
MRSV,,San Vito De Java Airport,San Vito De Jaba,Costa Rica,8.8261098862,-82.9589004517,3228
MSLP,SAL,El Salvador International Airport,San Salvador,El Salvador,13.4409,-89.055702,101
MSSS,,Ilopango International Airport,San Salvador,El Salvador,13.6995000839,-89.1199035645,2021
MTCA,,Les Cayes Airport,Cayes,Haiti,18.2710990906,-73.7882995605,203
MTCH,CAP,Cap Haitien International Airport,Cap Haitien,Haiti,19.7329998016,-72.1947021484,10
MTJA,,Jacmel Airport,Jacmel,Haiti,18.2411003113,-72.5185012817,167
MTPP,PAP,Toussaint Louverture International Airport,Port-au-prince,Haiti,18.5799999237,-72.2925033569,122
MUBA,BCA,Gustavo Rizo Airport,Baracoa Playa,Cuba,20.3652992249,-74.5062026978,26
MUBY,BYM,Carlos Manuel de Cespedes Airport,Bayamo,Cuba,20.3964004517,-76.6213989258,203
MUCA,AVI,Maximo Gomez Airport,Ciego De Avila,Cuba,22.0270996094,-78.7895965576,335
MUCC,CCC,Jardines Del Rey Airport,Cunagua,Cuba,22.4610004425,-78.3283996582,13
MUCF,CFG,Jaime Gonzalez Airport,Cienfuegos,Cuba,22.1499996185,-80.4141998291,102
MUCL,CYO,Vilo Acuña International Airport,Cayo Largo del Sur,Cuba,21.6165008545,-81.5459976196,10
MUCM,CMW,Ignacio Agramonte International Airport,Camaguey,Cuba,21.42029953,-77.8475036621,413
MUCU,SCU,Antonio Maceo International Airport,Santiago De Cuba,Cuba,19.9698009491,-75.8354034424,249
MUFL,,Florida Airport,Florida,Cuba,21.4997005463,-78.202796936,197
MUGM,,Leeward Point Field,Guantanamo,Cuba,19.9064998627,-75.2070999146,56
MUGT,GAO,Mariana Grajales Airport,Guantanamo,Cuba,20.0853004456,-75.1583023071,56
MUHA,HAV,José Martí International Airport,Havana,Cuba,22.989200592,-82.4091033936,210
MUHG,HOG,Frank Pais International Airport,Holguin,Cuba,20.7856006622,-76.3151016235,361
MULM,LCL,La Coloma Airport,La Coloma,Cuba,22.3360996246,-83.6418991089,131
MUMO,MOA,Orestes Acosta Airport,Moa,Cuba,20.6539001465,-74.922203064,16
MUMZ,MZO,Sierra Maestra Airport,Manzanillo,Cuba,20.2880992889,-77.0892028809,112
MUNG,GER,Rafael Cabrera Airport,Nueva Gerona,Cuba,21.8346996307,-82.7837982178,79
MUPB,UPB,Playa Baracoa Airport,Baracoa Playa,Cuba,23.0328006744,-82.5793991089,102
MUPR,,Pinar Del Rio Airport,Pinar Del Rio Norte,Cuba,22.4214000702,-83.6783981323,131
MUSA,,San Antonio De Los Banos Airport,San Antonio De Banos,Cuba,22.8715000153,-82.5093002319,164
MUSC,SNU,Abel Santamaria Airport,Santa Clara,Cuba,22.4922008514,-79.9436035156,338
MUSL,,Joaquín de Agüero Airport,Santa Lucia,Cuba,21.5094559067,-77.0205974579,13
MUSN,,Siguanea Airport,Siguanea,Cuba,21.6424999237,-82.9551010132,39
MUSS,,Sancti Spiritus Airport,Sancti Spiritus,Cuba,21.9704,-79.442703,295
MUVR,VRA,Juan Gualberto Gomez International Airport,Varadero,Cuba,23.0344009399,-81.4353027344,210
MUVT,VTU,Hermanos Ameijeiras Airport,Las Tunas,Cuba,20.9876003265,-76.935798645,328
MWCB,CYB,Gerrard Smith International Airport,Cayman Brac,Cayman Islands,19.6870002747,-79.8827972412,8
